index,predicate,xmlName
1.2.1.0.6.4,http://data.europa.eu/949/length,IPL_Length
1.2.1.0.6.5,http://data.europa.eu/949/platformHeight,IPL_Height
1.2.1.0.6.6,http://data.europa.eu/949/assistanceStartingTrain,IPL_AssistanceStartingTrain
1.2.1.0.6.7,http://data.europa.eu/949/areaBoardingAid,IPL_AreaBoardingAid
1.2.2.0.0.1,http://data.europa.eu/949/imCode,1.2.2.0.0.1
1.2.2.0.0.2,http://data.europa.eu/949/sidingId,1.2.2.0.0.2
1.2.2.0.0.3,http://data.europa.eu/949/tenClassification,1.2.2.0.0.3
1.2.2.0.1.1,http://data.europa.eu/949/verificationINF,1.2.2.0.1.1
1.2.2.0.1.2,http://data.europa.eu/949/demonstrationINF,1.2.2.0.1.2
1.2.2.0.2.1,http://data.europa.eu/949/length,IPP_Length
1.2.2.0.3.1,http://data.europa.eu/949/gradient,ILL_Gradient
1.2.2.0.3.2,http://data.europa.eu/949/minimumHorizontalRadius,1.2.2.0.3.2
1.2.2.0.3.3,http://data.europa.eu/949/minimumVerticalRadius,ILL_MinRadVertCurve
1.2.2.0.4.1,http://data.europa.eu/949/hasToiletDischarge,ITS_ToiletDischarge
1.2.2.0.4.2,http://data.europa.eu/949/hasExternalCleaning,ITS_ExternalCleaning
1.2.2.0.4.3,http://data.europa.eu/949/hasWaterRestocking,ITS_WaterRestocking
1.2.2.0.4.4,http://data.europa.eu/949/hasRefuelling,ITS_Refuelling
1.2.2.0.4.5,http://data.europa.eu/949/hasSandRestocking,ITS_SandRestocking
1.2.2.0.4.6,http://data.europa.eu/949/hasElectricShoreSupply,ITS_ElectricShoreSupply
1.2.2.0.5.1,http://data.europa.eu/949/imCode,1.2.2.0.5.1
1.2.2.0.5.2,http://data.europa.eu/949/tunnelIdentification,1.2.2.0.5.2
1.2.2.0.5.3,http://data.europa.eu/949/verificationSRT,1.2.2.0.5.3
1.2.2.0.5.4,http://data.europa.eu/949/demonstrationSRT,1.2.2.0.5.4
1.2.2.0.5.5,http://data.europa.eu/949/length,1.2.2.0.5.5
1.2.2.0.5.6,http://data.europa.eu/949/hasEmergencyPlan,1.2.2.0.5.6
1.2.2.0.5.7,http://data.europa.eu/949/rollingStockFireCategory,1.2.2.0.5.7
1.2.2.0.5.8,http://data.europa.eu/949/nationalRollingStockFireCategory,1.2.2.0.5.8
1.2.2.0.6.1,http://data.europa.eu/949/maxCurrentStandstillPantograph,1.2.2.0.6.1
1.2.3.1,http://data.europa.eu/949/localRulesOrRestrictions,1.2.3.1
1.2.3.2,http://data.europa.eu/949/localRulesOrRestrictionsDoc,1.2.3.2
